time,ax,ay,az,atotal
4.239720106124878,-10.42,1.33,7.89,13.13
4.249827146530151,-14.8,3.64,0.08,15.24
4.260338068008423,-20.08,6.32,-7.0,22.18
4.27238392829895,-25.08,8.66,-8.25,27.78
4.280379056930542,-27.46,9.6,-7.33,29.99
4.310510873794556,-27.05,9.11,-6.59,29.29
4.3109290599823,-25.32,8.83,-1.26,26.84
4.311333894729614,-21.08,9.71,8.1,24.58
4.320433855056763,-15.0,13.01,14.73,24.72
4.330425977706909,-10.7,17.62,12.64,24.18
4.34053897857666,-9.6,19.44,5.52,22.37
4.350589990615845,-8.78,17.06,5.27,19.89
4.360766172409058,-8.51,11.35,18.63,23.41
4.372315168380737,-8.73,2.23,33.85,35.02
4.380915880203247,-5.64,-7.18,42.43,43.4
4.40911602973938,-0.23,-14.77,41.16,43.73
4.40953803062439,5.46,-21.34,28.09,35.69
4.410463094711304,8.76,-22.99,6.46,25.43
4.420506000518799,13.55,-17.93,-11.92,25.43
4.430493116378784,17.1,-11.24,-19.83,28.49
4.440701007843018,14.77,-11.93,-17.01,25.49
4.450839042663574,9.05,-17.82,-7.99,21.52
4.460904836654663,4.04,-24.03,0.28,24.36
4.472779035568237,2.27,-28.96,5.13,29.49
4.481405019760132,3.35,-31.39,5.76,32.08
4.510684967041016,3.25,-32.1,3.59,32.46
4.511103868484497,1.77,-31.98,0.62,32.03
4.511505842208862,-0.28,-29.94,-3.88,30.19
4.520985841751099,-0.11,-25.58,-14.97,29.63
4.531054973602295,0.71,-21.37,-28.75,35.82
4.5414650440216064,3.55,-20.74,-35.59,41.34
4.551603078842163,10.1,-23.97,-27.17,37.61
4.561734914779663,15.83,-25.94,-6.02,30.97
4.573246002197266,19.07,-23.73,14.86,33.87
4.581668138504028,19.37,-18.05,22.65,34.84
4.609851121902466,18.42,-10.85,13.77,25.42
4.6102001667022705,18.02,-5.12,1.95,18.83
4.611633062362671,20.21,-0.1,-1.44,20.26
4.621777057647705,22.74,3.95,1.84,23.15
4.631885051727295,21.95,6.24,10.66,25.18
4.641875982284546,17.67,6.73,20.61,27.96
4.6518449783325195,11.17,6.84,26.09,29.19
4.662079095840454,4.82,8.31,24.45,26.26
4.672990083694458,-0.13,11.01,17.5,20.67
4.682616949081421,-0.89,12.32,10.89,16.46
4.709899187088013,0.42,12.35,12.49,17.56
4.710268974304199,1.5,11.73,17.96,21.5
4.711766958236694,0.0,11.16,17.99,21.17
4.721855878829956,-3.2,10.66,9.95,14.92
4.7326061725616455,-4.88,10.52,-0.31,11.6
4.742172956466675,-6.44,9.71,-5.87,13.04
4.752220869064331,-9.44,7.9,-3.26,12.73
4.762087106704712,-12.11,6.2,4.94,14.47
4.7742760181427,-15.04,4.26,13.07,20.37
4.812051057815552,-15.8,3.09,14.41,21.6
4.812406063079834,-17.14,5.05,5.5,18.69
4.812746047973633,-20.25,8.75,-8.51,23.64
4.813091039657593,-22.29,12.81,-19.54,32.29
4.822365999221802,-22.94,14.34,-20.19,33.75
4.832512140274048,-21.46,12.46,-8.67,26.28
4.842535972595215,-20.77,10.45,8.55,24.77
4.852892160415649,-22.33,7.77,22.77,32.82
4.862645864486694,-21.63,5.5,22.45,31.65
4.8740010261535645,-17.62,5.65,12.11,22.11
4.9115660190582275,-10.56,7.66,4.41,13.77
4.911969900131226,-0.23,7.94,6.59,10.32
4.912322998046875,9.76,5.48,15.81,19.37
4.9129798412323,15.06,0.33,23.59,27.98
4.923074007034302,13.48,-7.0,28.51,32.3
4.9327239990234375,7.7,-12.29,23.83,27.89
4.942888021469116,3.55,-13.05,9.48,16.51
4.952974081039429,4.1,-11.41,-4.09,12.79
4.963090181350708,9.26,-9.51,-8.16,15.58
4.974470853805542,14.53,-10.55,-2.73,18.16
5.009990930557251,15.07,-12.61,3.44,19.94
5.010367155075073,12.98,-14.25,1.7,19.35
5.0107409954071045,7.12,-12.58,-6.68,15.92
5.013170003890991,1.97,-12.18,-11.77,17.05
5.023203134536743,-0.69,-14.42,-7.24,16.15
5.033279180526733,-1.76,-17.81,3.49,18.23
5.043352842330933,-2.07,-19.64,12.61,23.43
5.053524017333984,-0.08,-19.5,13.81,23.89
5.063546895980835,1.21,-18.53,4.63,19.13
5.074869871139526,0.38,-17.87,-10.34,20.64
5.1126549243927,-0.35,-16.33,-22.35,27.68
5.113052129745483,1.98,-14.51,-25.85,29.7
5.113397836685181,7.13,-14.95,-18.09,24.52
5.113745927810669,12.68,-15.72,-2.28,20.32
5.12402606010437,16.3,-14.87,13.21,25.71
5.133746862411499,16.47,-13.45,19.27,28.69
5.14384388923645,14.22,-11.06,14.22,22.95
5.154019117355347,11.44,-7.4,3.82,14.15
5.163930177688599,10.95,-3.87,-4.22,12.35
5.1753089427948,11.35,-0.44,-6.74,13.2
5.209887981414795,12.03,1.72,-5.46,13.32
5.210234880447388,12.4,2.67,-3.35,13.11
5.210576057434082,12.23,2.87,-3.86,13.14
5.214086055755615,10.41,2.66,-6.82,12.72
5.224056005477905,9.18,0.4,-13.55,16.37
5.234182119369507,10.16,-2.26,-15.16,18.38
5.24427604675293,12.66,-5.65,-2.23,14.04
5.25444483757019,13.57,-10.23,16.24,23.5
5.264737844467163,14.12,-12.5,28.9,34.5
5.27570104598999,13.36,-10.99,25.64,30.93
5.3114001750946045,10.13,-9.25,9.88,16.9
5.311753988265991,5.42,-8.13,-5.95,11.44
5.3120949268341064,1.19,-7.4,-12.59,14.65
5.3145411014556885,0.76,-6.95,-5.01,8.6
5.324503183364868,2.06,-5.53,8.3,10.18
5.335134029388428,0.62,-3.77,19.93,20.29
5.344707012176514,-3.25,-1.57,26.46,26.7
5.355175018310547,-6.53,1.98,27.14,27.98
5.365186929702759,-9.65,6.59,23.59,26.32
5.37624192237854,-14.38,11.59,18.74,26.31
5.41032600402832,-21.25,17.0,13.62,30.43
5.410691976547241,-27.19,21.64,9.59,36.04
5.411041975021362,-29.71,25.3,8.87,40.01
5.415482997894287,-31.42,28.03,11.17,43.56
5.425391912460327,-30.61,30.61,16.68,46.39
5.435338020324707,-23.2,33.2,28.3,49.41
5.445502996444702,-11.64,31.98,41.13,53.38
5.455554962158203,-2.72,24.03,45.66,51.66
5.465713024139404,0.81,14.21,43.42,45.69
5.476675033569336,1.36,6.31,41.11,41.61
5.510103940963745,2.57,-2.19,36.6,36.75
5.510426044464111,5.92,-10.33,28.09,30.5
5.510741949081421,5.25,-16.0,14.23,22.04
5.515563011169434,0.09,-21.62,10.39,23.98
5.525912046432495,-2.08,-28.97,28.37,40.6
5.535856008529663,3.16,-37.35,42.11,56.37
5.545923948287964,10.36,-42.51,35.87,56.57
5.555986166000366,12.32,-41.81,17.79,47.07
5.565773010253906,10.92,-36.45,-1.86,38.09
5.577061891555786,9.23,-28.52,-16.83,34.37
5.611445188522339,9.22,-23.64,-23.18,34.36
5.611786127090454,9.42,-23.22,-15.66,29.54
5.612107038497925,12.26,-23.99,-5.38,27.47
5.616024017333984,15.09,-25.22,-2.57,29.5
5.626194000244141,16.57,-24.4,-5.52,30.0
5.636322975158691,18.33,-21.89,-6.68,29.32
5.646442174911499,22.75,-19.65,-4.0,30.32
